	unit	allowed_users	tissue	measurement_type	access	raw_pk	interventions	substance	calculated	group_count	group_name	group_pk	mean	individual_name	individual_pk	value	timecourse_pk	time_unit	time	se	cv	sd	pharmacokinetics	figure	min	max	median	measurement_type_intervention	access_intervention	allowed_users_intervention	raw_pk_intervention	substance_intervention	application	route	unit_intervention	value_intervention	form	time_intervention	time_unit_intervention	choice	sd_intervention	max_intervention	min_intervention	study	subject_pk	subject_name	('general', 'group_pk')	('species', 'choice')	('species', 'count')	('sex', 'choice')	('sex', 'count')	('healthy', 'choice')	('healthy', 'count')	('age', 'count')	('age', 'max')	('age', 'mean')	('age', 'min')	('age', 'sd')	('age', 'se')	('age', 'unit')	('age', 'value')	('weight', 'count')	('weight', 'max')	('weight', 'mean')	('weight', 'median')	('weight', 'min')	('weight', 'sd')	('weight', 'se')	('weight', 'unit')	('weight', 'value')	('medication', 'choice')	('medication', 'count')	('overnight fast', 'choice')	('overnight fast', 'count')	('smoking', 'choice')	('smoking', 'count')	('ethnicity', 'choice')	('ethnicity', 'count')	('height', 'count')	('height', 'max')	('height', 'mean')	('height', 'min')	('height', 'sd')	('height', 'unit')	('bmi', 'count')	('bmi', 'max')	('bmi', 'mean')	('bmi', 'min')	('bmi', 'sd')	('bmi', 'unit')	('gfr', 'count')	('gfr', 'mean')	('gfr', 'sd')	('gfr', 'unit')	('oral contraceptives', 'choice')	('oral contraceptives', 'count')	('abstinence medication', 'count')	('abstinence medication', 'min')	('abstinence medication', 'unit')	('body surface area', 'count')	('body surface area', 'max')	('body surface area', 'median')	('body surface area', 'min')	('body surface area', 'unit')	('body surface area', 'value')	('concentration', 'count')	('concentration', 'min')	('concentration', 'substance')	('concentration', 'unit')	('concentration', 'value')	('disease', 'choice')	('disease', 'count')	('disease', 'unit')	('disease', 'value')	('liver function test', 'choice')	('liver function test', 'count')	('biochemistry (categorial)', 'choice')	('biochemistry (categorial)', 'count')	('biochemistry (categorial)', 'substance')	('abstinence alcohol', 'count')	('abstinence alcohol', 'min')	('abstinence alcohol', 'unit')	('alcohol', 'choice')	('alcohol', 'count')	('age (categorial)', 'choice')	('age (categorial)', 'count')	('clearance', 'count')	('clearance', 'max')	('clearance', 'min')	('clearance', 'substance')	('clearance', 'unit')	('clearance', 'value')	('fasting (duration)', 'count')	('fasting (duration)', 'min')	('fasting (duration)', 'unit')	('abstinence', 'count')	('abstinence', 'min')	('abstinence', 'substance')	('abstinence', 'unit')	('liver volume', 'count')	('liver volume', 'mean')	('liver volume', 'se')	('liver volume', 'unit')	('weight (categorial)', 'choice')	('weight (categorial)', 'count')	('obesity index', 'count')	('obesity index', 'max')	('obesity index', 'min')	('obesity index', 'unit')	('pregnancy status', 'choice')	('pregnancy status', 'count')	('fasting', 'choice')	('fasting', 'count')	('kidney function test', 'choice')	('kidney function test', 'count')	('body position', 'choice')	('body position', 'count')	('amount', 'count')	('amount', 'substance')	('amount', 'unit')	('amount', 'value')
1925	1 / minute	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	kel	public	10589	436	paracetamol	True					case23	809.0	0.0018399999999999998	728.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	809	case23	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1926	gram / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	cmax	public	10588	436	paracetamol	True					case23	809.0	0.00838	728.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	809	case23	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1927	hour	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	thalf	public	10590	436	paracetamol	True					case23	809.0	6.29	728.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	809	case23	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1928	hour	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	tmax	public	10592	436	paracetamol	True					case23	809.0	0.525	728.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	809	case23	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1929	gram * hour / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	auc_inf	public	10586	436	paracetamol	True					case23	809.0	0.0474	728.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	809	case23	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1930	liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	vd	public	10591	436	paracetamol	True					case23	809.0	181.0	728.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	809	case23	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1931	liter / hour	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	clearance	public	10587	436	paracetamol	True					case23	809.0	20.0	728.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	809	case23	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1932	gram * hour / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	auc_end	public	10585	436	paracetamol	True					case23	809.0	0.0299	728.0	hr	8.713056									dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	809	case23	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1933	gram / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	concentration	public	702	436	paracetamol						case23	809.0	['8.38e-03', '4.85e-03', '4.06e-03', '3.48e-03', '2.90e-03', '2.58e-03', '1.94e-03']		hr	['5.25e-01', '1.52e+00', '2.45e+00', '3.68e+00', '6.51e+00', '7.54e+00', '8.71e+00']				[{'pk': 10600}, {'pk': 10599}, {'pk': 10598}, {'pk': 10597}, {'pk': 10596}, {'pk': 10595}, {'pk': 10594}, {'pk': 10593}, {'pk': 10592}, {'pk': 10591}, {'pk': 10590}, {'pk': 10589}, {'pk': 10588}, {'pk': 10587}, {'pk': 10586}, {'pk': 10585}]	/media/data/Kietzmann1990_Fig1.png				dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	809	case23	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1934	liter / hour	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	clearance	public	10603	436	paracetamol	True					case24	810.0	17.8	729.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	810	case24	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1935	gram / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	cmax	public	10604	436	paracetamol	True					case24	810.0	0.00421	729.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	810	case24	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1936	1 / minute	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	kel	public	10605	436	paracetamol	True					case24	810.0	0.00119	729.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	810	case24	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1937	gram * hour / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	auc_inf	public	10602	436	paracetamol	True					case24	810.0	0.0563	729.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	810	case24	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1938	hour	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	tmax	public	10608	436	paracetamol	True					case24	810.0	2.28	729.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	810	case24	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1939	hour	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	thalf	public	10606	436	paracetamol	True					case24	810.0	9.74	729.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	810	case24	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1940	liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	vd	public	10607	436	paracetamol	True					case24	810.0	250.0	729.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	810	case24	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1941	gram * hour / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	auc_end	public	10601	436	paracetamol	True					case24	810.0	0.0223	729.0	hr	7.5875826									dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	810	case24	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1942	gram / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	concentration	public	703	436	paracetamol						case24	810.0	['3.11e-03', '4.21e-03', '2.96e-03', '2.64e-03', '2.39e-03', '2.42e-03']		hr	['5.80e-01', '2.28e+00', '4.69e+00', '5.57e+00', '6.42e+00', '7.59e+00']				[{'pk': 10616}, {'pk': 10615}, {'pk': 10614}, {'pk': 10613}, {'pk': 10612}, {'pk': 10611}, {'pk': 10610}, {'pk': 10609}, {'pk': 10608}, {'pk': 10607}, {'pk': 10606}, {'pk': 10605}, {'pk': 10604}, {'pk': 10603}, {'pk': 10602}, {'pk': 10601}]	/media/data/Kietzmann1990_Fig1.png				dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	810	case24	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1943	gram * hour / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	auc_inf	public	10618	436	paracetamol	True					case25	811.0	0.0198	730.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	811	case25	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1944	liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	vd	public	10623	436	paracetamol	True					case25	811.0	161.0	730.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	811	case25	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1945	gram * hour / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	auc_end	public	10617	436	paracetamol	True					case25	811.0	0.016	730.0	hr	8.002127999999999									dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	811	case25	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1946	hour	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	tmax	public	10624	436	paracetamol	True					case25	811.0	3.64	730.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	811	case25	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1947	liter / hour	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	clearance	public	10619	436	paracetamol	True					case25	811.0	38.9	730.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	811	case25	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1948	gram / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	cmax	public	10620	436	paracetamol	True					case25	811.0	0.003	730.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	811	case25	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1949	hour	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	thalf	public	10622	436	paracetamol	True					case25	811.0	2.87	730.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	811	case25	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1950	1 / minute	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	kel	public	10621	436	paracetamol	True					case25	811.0	0.00403	730.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	811	case25	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1951	gram / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	plasma	concentration	public	704	436	paracetamol						case25	811.0	['2.10e-03', '2.72e-03', '3.00e-03', '1.23e-03', '8.99e-04']		hr	['5.77e-01', '1.88e+00', '3.64e+00', '6.72e+00', '8.00e+00']				[{'pk': 10632}, {'pk': 10631}, {'pk': 10630}, {'pk': 10629}, {'pk': 10628}, {'pk': 10627}, {'pk': 10626}, {'pk': 10625}, {'pk': 10624}, {'pk': 10623}, {'pk': 10622}, {'pk': 10621}, {'pk': 10620}, {'pk': 10619}, {'pk': 10618}, {'pk': 10617}]	/media/data/Kietzmann1990_Fig1.png				dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	811	case25	172	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							6.0	3.6		creatinine	liter / hour																														
1952	gram / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	urine	cmax	public	10652	436	paracetamol	True					case3	789.0	0.0158	732.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	789	case3	171	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							7.0		3.6	creatinine	liter / hour																														
1953	liter / hour	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	urine	clearance	public	10651	436	paracetamol	True					case3	789.0	3.45	732.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	789	case3	171	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							7.0		3.6	creatinine	liter / hour																														
1954	1 / minute	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	urine	kel	public	10653	436	paracetamol	True					case3	789.0	0.0008359999999999999	732.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	789	case3	171	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							7.0		3.6	creatinine	liter / hour																														
1955	liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	urine	vd	public	10655	436	paracetamol	True					case3	789.0	68.8	732.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	789	case3	171	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							7.0		3.6	creatinine	liter / hour																														
1956	gram * hour / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	urine	auc_end	public	10649	436	paracetamol	True					case3	789.0	0.0886	732.0	hr	7.8587193									dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	789	case3	171	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							7.0		3.6	creatinine	liter / hour																														
1957	hour	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	urine	thalf	public	10654	436	paracetamol	True					case3	789.0	13.8	732.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	789	case3	171	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							7.0		3.6	creatinine	liter / hour																														
1958	gram * hour / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	urine	auc_inf	public	10650	436	paracetamol	True					case3	789.0	0.282	732.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	789	case3	171	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							7.0		3.6	creatinine	liter / hour																														
1959	hour	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	urine	tmax	public	10656	436	paracetamol	True					case3	789.0	1.26	732.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	789	case3	171	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							7.0		3.6	creatinine	liter / hour																														
1960	gram / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	urine	concentration	public	706	436	paracetamol						case3	789.0	['1.40e-02', '1.58e-02', '1.23e-02', '1.34e-02', '1.15e-02', '1.12e-02', '1.07e-02', '9.68e-03']		hr	['5.38e-01', '1.26e+00', '2.27e+00', '3.31e+00', '4.19e+00', '5.31e+00', '6.16e+00', '7.86e+00']				[{'pk': 10664}, {'pk': 10663}, {'pk': 10662}, {'pk': 10661}, {'pk': 10660}, {'pk': 10659}, {'pk': 10658}, {'pk': 10657}, {'pk': 10656}, {'pk': 10655}, {'pk': 10654}, {'pk': 10653}, {'pk': 10652}, {'pk': 10651}, {'pk': 10650}, {'pk': 10649}]	/media/data/Kietzmann1990_Fig1.png				dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	789	case3	171	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							7.0		3.6	creatinine	liter / hour																														
1961	liter / hour	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	urine	clearance	public	10667	436	paracetamol	True					case4	790.0	4.52	733.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	790	case4	171	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							7.0		3.6	creatinine	liter / hour																														
1962	gram * hour / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	urine	auc_end	public	10665	436	paracetamol	True					case4	790.0	0.086	733.0	hr	7.919717299999999									dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	790	case4	171	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							7.0		3.6	creatinine	liter / hour																														
1963	gram / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	urine	cmax	public	10668	436	paracetamol	True					case4	790.0	0.0154	733.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	790	case4	171	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							7.0		3.6	creatinine	liter / hour																														
1964	hour	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	urine	thalf	public	10670	436	paracetamol	True					case4	790.0	9.48	733.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	790	case4	171	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							7.0		3.6	creatinine	liter / hour																														
1965	liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	urine	vd	public	10671	436	paracetamol	True					case4	790.0	61.8	733.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	790	case4	171	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							7.0		3.6	creatinine	liter / hour																														
1966	gram * hour / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	urine	auc_inf	public	10666	436	paracetamol	True					case4	790.0	0.214	733.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	790	case4	171	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							7.0		3.6	creatinine	liter / hour																														
1967	1 / minute	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	urine	kel	public	10669	436	paracetamol	True					case4	790.0	0.00122	733.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	790	case4	171	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							7.0		3.6	creatinine	liter / hour																														
1968	hour	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	urine	tmax	public	10672	436	paracetamol	True					case4	790.0	1.36	733.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	790	case4	171	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							7.0		3.6	creatinine	liter / hour																														
1969	gram / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	urine	concentration	public	707	436	paracetamol						case4	790.0	['1.31e-02', '1.54e-02', '1.52e-02', '1.27e-02', '1.22e-02', '1.07e-02', '9.99e-03', '9.37e-03']		hr	['6.60e-01', '1.36e+00', '1.96e+00', '2.38e+00', '3.88e+00', '5.25e+00', '6.34e+00', '7.92e+00']				[{'pk': 10680}, {'pk': 10679}, {'pk': 10678}, {'pk': 10677}, {'pk': 10676}, {'pk': 10675}, {'pk': 10674}, {'pk': 10673}, {'pk': 10672}, {'pk': 10671}, {'pk': 10670}, {'pk': 10669}, {'pk': 10668}, {'pk': 10667}, {'pk': 10666}, {'pk': 10665}]	/media/data/Kietzmann1990_Fig1.png				dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	790	case4	171	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							7.0		3.6	creatinine	liter / hour																														
1970	gram * hour / liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	urine	auc_inf	public	10682	436	paracetamol	True					case5	791.0	0.36700000000000005	734.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	791	case5	171	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							7.0		3.6	creatinine	liter / hour																														
1971	liter	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	urine	vd	public	10687	436	paracetamol	True					case5	791.0	59.3	734.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	791	case5	171	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							7.0		3.6	creatinine	liter / hour																														
1972	hour	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	urine	tmax	public	10688	436	paracetamol	True					case5	791.0	1.06	734.0											dosing	public	[{'username': 'mkoenig'}, {'username': 'jbrandhorst'}]	435	paracetamol	single dose	oral	gram	1.0	solution	0.0	min					Kietzmann1990	791	case5	171	homo sapiens	13	NR	1	N	13.0	1.0						yr		1.0							kilogram		Y	13																																																							7.0		3.6	creatinine	liter / hour																														
